regime,RMSE,MAE,MAPE,R2,model
low,0.009389268811556299,0.006238239259752392,6.399948073532026,0.6902340762449997,xgboost
mid,0.009120386864047073,0.005909814152171245,4.122799273550721,0.6611071284801431,xgboost
high,0.04526796423039355,0.02359384536442629,6.314731206592058,0.9214044951969474,xgboost
