exp,test,R2_fixed_train,R2_broad,R2_adaptive
E1,high,-0.26393258571624756,0.1820063591003418,0.6976194977760315
E2,low,0.4817729592323303,0.7410407066345215,0.764446496963501
E3,high,-0.02449214458465576,0.058756351470947266,0.64394211769104
E4,low,-1.1333518028259277,-2.154985189437866,-0.1924915313720703
E5,mid,0.6949697732925415,0.69788658618927,0.6906696557998657
