exp,train,test,RMSE,MAE,MAPE,R2,model
E1,low,high,0.23888775413115385,0.17680619926193333,51.888899764281504,-1.1887872720848542,randomforest
E2,high,low,0.09055489840983924,0.0890172520016663,92.22791747042875,-27.813365634979675,randomforest
E3,mid,high,0.21685017621063074,0.14568579714250188,39.347528203056164,-0.803579699406211,randomforest
E4,mid,low,0.044498981787171744,0.04122124544794185,44.26838736520951,-5.957772787741105,randomforest
E5,low+high,mid,0.052457881759905775,0.04464594660854974,30.792016972406632,-10.211337141656418,randomforest
