exp,train,test,xgboost,randomforest,anchor,transformer,transformer_sd,soft_pinn,soft_pinn_sd,additive_pinn,additive_pinn_sd
E1,low,high,-1.1477603912353516,-1.137261751518492,0.705981969833374,-1.1198291778564453,0.05274487968780496,-1.0768627643585205,0.039781800963132156,0.6977656960487366,0.010609480100887705
E2,high,low,-22.946012496948242,-27.18215601470645,0.7626742124557495,-15.356293296813964,4.7892135062524455,-13.920893287658691,7.570147730620347,0.6819691777229309,0.05533808129144147
E3,mid,high,-0.8022552728652954,-0.7753428822535922,0.5729671120643616,-0.7538221836090088,0.03534877270150474,-0.7358842134475708,0.024436082356196372,0.5826114773750305,0.008634617798769569
E4,mid,low,-3.7514162063598633,-5.767567589001139,-0.9584426879882812,-2.297408413887024,2.1297392281963288,-2.5342360377311706,2.8030502943650255,-2.4114845752716065,1.557396473484694
E5,low+high,mid,-4.71930456161499,-10.530212025802369,0.6918206810951233,-6.197074604034424,5.271188867600679,-6.896155548095703,2.85043594206039,-0.05348535776138306,0.5266792525132786
