exp,train,test,RMSE,MAE,MAPE,R2,model
E1,low,high,0.23890160920242284,0.17684435349357505,51.89582040514914,-1.1890411711026543,xgboost
E2,high,low,0.08415460537840273,0.08221605076916721,85.61229108472654,-23.884325334587732,xgboost
E3,mid,high,0.21851299921861295,0.14618926549305403,39.32562634569283,-0.831345710749426,xgboost
E4,mid,low,0.037297969716662216,0.03340534757017852,36.28526874997285,-3.8881044675354213,xgboost
E5,low+high,mid,0.04072162228137794,0.034553639819353214,24.144447892735784,-5.75594422298903,xgboost
