exp,test,anchor,transformer,transformer_sd,soft_pinn,soft_pinn_sd,additive_pinn,additive_pinn_sd
E1,high,0.6976194977760315,-1.0813437938690185,0.0594276573745267,-1.0923490047454834,0.05131937363813166,0.6952263832092285,0.009504440581046408
E2,low,0.764446496963501,-17.299229240417482,3.9935059954708794,-12.23529224395752,4.0975285649071775,0.6647276878356934,0.15474133366502904
E3,high,0.64394211769104,-0.7713114500045777,0.04844419473946617,-0.7687196493148803,0.08625055299153599,0.5749400615692138,0.015888970060986007
E4,low,-0.1924915313720703,-3.0909514904022215,3.0676937267497264,-3.4456265449523924,1.9557571097216533,-1.94533269405365,0.884767667564559
E5,mid,0.6906696557998657,-5.487404823303223,2.043774168934054,-5.995778942108155,3.4085303038978436,0.38474122285842893,0.4111846454570439
