exp,contrast,diff_R2,ci_lo,ci_hi,significant
E1,additive_pinn − transformer,1.9553425903320312,1.5639569923281669,2.651805374026298,True
E1,additive_pinn − soft_pinn,1.9050338541269303,1.5342458099126817,2.5622064441442487,True
E1,anchor − xgboost,1.9992244110107422,1.6055449768900871,2.7075168281793585,True
E1,anchor − transformer,1.9633148449659348,1.5685366630554198,2.660011194646358,True
E1,additive_pinn − xgboost,1.9912521563768386,1.5971109807491302,2.698411950469016,True
E2,additive_pinn − transformer,16.239958101928234,12.950894582271577,20.391716919839382,True
E2,additive_pinn − soft_pinn,14.036387523353099,11.199458894133567,17.672541320323944,True
E2,anchor − xgboost,24.62418561977148,19.72694302648306,31.12149121761322,True
E2,anchor − transformer,16.268935596883296,12.976606258749962,20.43059521317482,True
E2,additive_pinn − xgboost,24.595208124816416,19.671390610933305,31.091762267053127,True
E3,additive_pinn − transformer,1.408885034263134,1.1353671208024025,1.8535234749317169,True
E3,additive_pinn − soft_pinn,1.387546895325184,1.1159059658646584,1.8069669723510737,True
E3,anchor − xgboost,1.4492020477056504,1.167969684302807,1.883489346504211,True
E3,anchor − transformer,1.395912299156189,1.1191644579172135,1.8276818394660945,True
E3,additive_pinn − xgboost,1.4621747828125953,1.181207226216793,1.9097394794225693,True
E4,additive_pinn − transformer,1.200707335472107,0.1295922160148621,2.2718492835760107,True
E4,additive_pinn − soft_pinn,0.9935196542739868,-0.0014326751232147006,1.9745416611433027,False
E4,anchor − xgboost,2.9707734086513518,1.335813581943512,4.502157047390938,True
E4,anchor − transformer,1.1083331668376923,-0.5306244373321534,2.4298071786761284,False
E4,additive_pinn − xgboost,3.0631475772857666,1.932212221622467,4.409101122617722,True
E5,additive_pinn − transformer,5.345331346035004,3.9922424077987673,6.882718935608864,True
E5,additive_pinn − soft_pinn,2.889646264433861,2.2166047185659408,3.670403696596622,True
E5,anchor − xgboost,5.712199049532414,4.474410504102707,7.09769365042448,True
E5,anchor − transformer,5.368830137550831,4.007869064807892,6.916691008210182,True
E5,additive_pinn − xgboost,5.688700258016587,4.44909856915474,7.069171918928623,True
