exp,train,test,RPD,RTR,R2_cross,model,CRS
E1,low,high,3.0328143119965296,0.0,-1.0949535369873047,transformer,0.0
E2,high,low,4.389772174378705,0.0,-16.31879425048828,transformer,0.0
E3,mid,high,2.7017963143601285,0.0,-0.765155553817749,transformer,0.0
E4,mid,low,0.35838761412957987,0.0,-0.10007989406585693,transformer,0.0
E5,low+high,mid,3.3548368141704197,0.0,-11.51639175415039,transformer,0.0
