regime,RMSE,MAE,MAPE,R2,model
low,0.009715019644458693,0.006585239063797562,6.865459322636747,0.6683672126054414,randomforest
mid,0.009526720130536506,0.0065175115689354215,4.523148813100951,0.6302376171120303,randomforest
high,0.05710553458902703,0.03183919525967414,9.12306346470137,0.8749245187475344,randomforest
