exp,train,test,RMSE,MAE,MAPE,R2,model
E1,low,high,0.23958753326438872,0.173641636967659,49.98479461669922,-1.0949535369873047,transformer
E2,high,low,0.07088464177110085,0.06908846646547318,71.95875549316406,-16.31879425048828,transformer
E3,mid,high,0.21992191531518054,0.14613716304302216,39.01340103149414,-0.765155553817749,transformer
E4,mid,low,0.017865100100446292,0.013621872290968895,15.38097095489502,-0.10007989406585693,transformer
E5,low+high,mid,0.055249904957615115,0.05156080797314644,36.25715255737305,-11.51639175415039,transformer
