exp,train,test,RPD,RTR,R2_cross,model,CRS
E1,low,high,4.277498408952548,0.0,-1.1890411711026543,xgboost,0.0
E2,high,low,7.962849724232558,0.0,-23.884325334587732,xgboost,0.0
E3,mid,high,3.8271002006293053,0.0,-0.831345710749426,xgboost,0.0
E4,mid,low,2.972404078021062,0.0,-3.8881044675354213,xgboost,0.0
E5,low+high,mid,3.464900764451582,0.0,-5.75594422298903,xgboost,0.0
